seconds,worker,moves,phase,hard,objective,surrogate,soft,lecturerConflicts,groupConflicts,roomConflicts,groupTravel,lecturerTravel,abstractRoomOverflow,lecturerWindows,groupWindows,mixedOnlineDays
0.0600119,0,0,start,1103,8.1987e+07,8.19694e+07,2235,0,0,0,714,389,0,1490,508,237
0.0653969,1,0,start,1063,8.03852e+07,8.0377e+07,2390,0,0,0,702,361,0,1639,513,238
0.313266,0,21504,repair,910,3.76038e+08,3.76009e+08,8289,72,199,192,280,167,0,4493,3583,213
0.319262,1,19456,repair,872,3.73556e+08,3.73527e+08,8331,63,182,162,300,165,0,4564,3545,222
0.575764,0,43008,repair,898,3.83324e+08,3.83253e+08,8477,75,205,181,278,159,0,4708,3568,201
0.580369,1,38912,repair,867,3.75578e+08,3.75571e+08,8477,73,188,163,289,154,0,4752,3501,224
0.826214,0,63488,repair,898,3.83324e+08,3.83253e+08,8477,75,205,181,278,159,0,4708,3568,201
0.839386,1,60416,repair,860,3.77902e+08,3.77831e+08,8378,63,179,169,289,160,0,4618,3566,194
1.07925,0,86016,repair,898,3.83324e+08,3.83253e+08,8477,75,205,181,278,159,0,4708,3568,201
1.09114,1,79872,repair,860,3.77902e+08,3.77831e+08,8378,63,179,169,289,160,0,4618,3566,194
1.33998,0,106496,repair,898,3.83324e+08,3.83253e+08,8477,75,205,181,278,159,0,4708,3568,201
1.353,1,99328,repair,860,3.77902e+08,3.77831e+08,8378,63,179,169,289,160,0,4618,3566,194
1.60012,0,126976,repair,898,3.83324e+08,3.83253e+08,8477,75,205,181,278,159,0,4708,3568,201
1.61593,1,118784,repair,860,3.77902e+08,3.77831e+08,8378,63,179,169,289,160,0,4618,3566,194
1.85345,0,148480,repair,898,3.83324e+08,3.83253e+08,8477,75,205,181,278,159,0,4708,3568,201
1.87903,1,138240,repair,860,3.77902e+08,3.77831e+08,8378,63,179,169,289,160,0,4618,3566,194
2.11223,0,171008,repair,898,3.83324e+08,3.83253e+08,8477,75,205,181,278,159,0,4708,3568,201
