seconds,worker,moves,phase,hard,objective,surrogate,soft,lecturerConflicts,groupConflicts,roomConflicts,groupTravel,lecturerTravel,abstractRoomOverflow,lecturerWindows,groupWindows,mixedOnlineDays
0.0535402,0,0,start,1103,8.1987e+07,8.19694e+07,2235,0,0,0,714,389,0,1490,508,237
0.0623472,1,0,start,1063,8.03852e+07,8.0377e+07,2390,0,0,0,702,361,0,1639,513,238
0.306468,0,22528,repair,772,2.83528e+08,2.83522e+08,7358,43,167,115,285,162,0,4142,3020,196
0.31248,1,19456,repair,737,2.94488e+08,2.94468e+08,7421,74,148,126,252,137,0,4058,3155,208
0.562667,0,41984,repair,606,3.05518e+08,3.05448e+08,7599,35,137,123,194,117,0,4168,3238,193
0.572521,1,35840,repair,617,2.88814e+08,2.88746e+08,7427,45,131,92,228,121,0,4124,3113,190
0.815532,0,61440,repair,516,2.57232e+08,2.57232e+08,7129,44,101,94,177,100,0,4063,2899,167
0.829408,1,52224,repair,539,2.43822e+08,2.43767e+08,7039,43,118,87,176,115,0,4127,2752,160
1.06728,0,81920,repair,403,2.25147e+08,2.25068e+08,6719,28,78,67,154,76,0,3833,2711,175
1.09486,1,69632,repair,427,2.48687e+08,2.48605e+08,6916,27,88,90,152,70,0,3846,2916,154
1.32772,0,103424,repair,319,2.04168e+08,2.04145e+08,6433,20,53,49,125,72,0,3722,2567,144
1.34804,1,86016,repair,364,2.1741e+08,2.1741e+08,6649,23,63,63,146,69,0,3856,2638,155
1.58915,0,121856,repair,256,1.89918e+08,1.89896e+08,6257,17,49,36,103,51,0,3660,2457,140
1.60497,1,101376,repair,308,2.03729e+08,2.03725e+08,6423,14,44,46,132,72,0,3725,2562,136
1.84915,0,140288,repair,193,1.7837e+08,1.7837e+08,6091,11,34,26,80,42,0,3585,2373,133
1.85942,1,115712,repair,264,1.89732e+08,1.89732e+08,6149,20,40,42,96,66,0,3519,2507,123
2.10856,0,157696,repair,158,1.49695e+08,1.49652e+08,5592,5,26,19,76,32,0,3308,2166,118
2.11845,1,131072,repair,200,1.87046e+08,1.87046e+08,6214,9,40,39,68,44,0,3647,2441,126
2.36726,0,175104,repair,122,1.4145e+08,1.41433e+08,5548,3,17,17,56,29,0,3406,2033,109
2.36956,1,146432,repair,161,1.68665e+08,1.68598e+08,5939,7,29,26,59,40,0,3527,2296,116
2.62947,1,161792,repair,136,1.46322e+08,1.46259e+08,5566,7,18,23,62,26,0,3348,2115,103
2.63104,0,194560,repair,70,1.5288e+08,1.52859e+08,5716,7,9,22,19,13,0,3465,2150,101
2.88092,1,177152,repair,96,1.5708e+08,1.57059e+08,5776,3,12,12,51,18,0,3496,2184,96
2.88426,0,212992,repair,50,1.23733e+08,1.23733e+08,5180,2,10,3,26,9,0,3189,1905,86
3.13128,1,191488,repair,65,1.54134e+08,1.54091e+08,5782,1,14,10,26,14,0,3546,2131,105
3.13801,0,230400,repair,28,1.14871e+08,1.14869e+08,5010,2,4,1,16,5,0,3088,1829,93
3.39152,0,248832,repair,16,9.98823e+07,9.98823e+07,4721,0,3,0,11,2,0,2964,1669,88
3.39232,1,207872,repair,48,1.27542e+08,1.27526e+08,5241,1,6,7,22,12,0,3218,1943,80
3.64299,1,223232,repair,33,1.1284e+08,1.12804e+08,4982,2,1,8,20,2,0,3098,1797,87
3.65691,0,266240,repair,5,8.58874e+07,8.58549e+07,4422,1,0,1,1,2,0,2834,1509,79
3.90076,1,238592,repair,19,1.07565e+08,1.07562e+08,4871,1,3,2,10,3,0,3036,1750,85
3.92336,0,282624,repair,4,7.23084e+07,7.22658e+07,4095,1,0,1,2,0,0,2672,1350,73
4.15456,1,253952,repair,11,1.00349e+08,1.00346e+08,4719,1,2,2,3,3,0,2951,1682,86
4.18366,0,297984,repair,3,6.21153e+07,6.21029e+07,3802,1,0,0,2,0,0,2489,1245,68
4.41186,1,269312,repair,4,8.2429e+07,8.23989e+07,4399,0,2,0,1,1,0,2924,1406,69
4.45131,0,313344,repair,3,5.23073e+07,5.22828e+07,3496,1,0,0,2,0,0,2299,1135,62
4.66785,1,283648,repair,3,7.05438e+07,7.05302e+07,4075,0,1,0,2,0,0,2722,1292,61
4.71659,0,327680,repair,0,4.95611e+07,4.95498e+07,3416,0,0,0,0,0,0,2269,1089,58
4.93028,1,297984,repair,1,6.30157e+07,6.30157e+07,3832,0,0,0,0,1,0,2547,1235,50
4.97323,0,343040,repair,0,4.95611e+07,4.95498e+07,3416,0,0,0,0,0,0,2269,1089,58
5.19525,1,313344,windows,0,5.42259e+07,5.42245e+07,3580,0,0,0,0,0,0,2415,1118,47
5.22566,0,356352,windows,0,3.44559e+07,3.44465e+07,2847,0,0,0,0,0,0,1873,917,57
5.46065,1,326656,windows,0,4.53921e+07,4.53921e+07,3247,0,0,0,0,0,0,2144,1057,46
5.47674,0,370688,windows,0,2.89744e+07,2.89492e+07,2633,0,0,0,0,0,0,1765,816,52
5.7206,1,338944,windows,0,3.80568e+07,3.80554e+07,3002,0,0,0,0,0,0,2018,939,45
5.74181,0,386048,windows,0,2.4465e+07,2.44554e+07,2441,0,0,0,0,0,0,1690,712,39
5.97737,1,352256,windows,0,3.25892e+07,3.2579e+07,2753,0,0,0,0,0,0,1824,892,37
5.99911,0,401408,windows,0,2.09602e+07,2.09391e+07,2256,0,0,0,0,0,0,1554,665,37
6.24151,1,366592,windows,0,2.8001e+07,2.79839e+07,2585,0,0,0,0,0,0,1750,795,40
6.25323,0,415744,windows,0,1.75015e+07,1.74822e+07,2062,0,0,0,0,0,0,1410,613,39
6.50549,1,379904,windows,0,2.44298e+07,2.44286e+07,2429,0,0,0,0,0,0,1662,727,40
6.51618,0,431104,windows,0,1.46083e+07,1.46073e+07,1884,0,0,0,0,0,0,1292,558,34
6.75964,1,393216,windows,0,2.04689e+07,2.04678e+07,2209,0,0,0,0,0,0,1488,684,37
6.77637,0,445440,windows,0,1.2441e+07,1.24401e+07,1725,0,0,0,0,0,0,1166,530,29
7.02653,0,459776,windows,0,1.08162e+07,1.08155e+07,1625,0,0,0,0,0,0,1133,468,24
7.02811,1,408576,windows,0,1.68903e+07,1.68836e+07,2003,0,0,0,0,0,0,1345,625,33
7.28498,0,475136,windows,0,9.32856e+06,9.32265e+06,1503,0,0,0,0,0,0,1029,448,26
7.28656,1,423936,windows,0,1.41607e+07,1.41502e+07,1868,0,0,0,0,0,0,1308,528,32
7.53972,0,488448,windows,0,7.77307e+06,7.76038e+06,1385,0,0,0,0,0,0,964,394,27
7.54806,1,439296,windows,0,1.19413e+07,1.19305e+07,1707,0,0,0,0,0,0,1183,496,28
7.79952,1,453632,windows,0,1.04908e+07,1.0485e+07,1616,0,0,0,0,0,0,1155,436,25
7.8029,0,502784,windows,0,6.5915e+06,6.58382e+06,1276,0,0,0,0,0,0,901,355,20
8.04992,1,465920,windows,0,8.83794e+06,8.83794e+06,1467,0,0,0,0,0,0,1021,425,21
8.06233,0,519168,windows,0,5.45052e+06,5.44583e+06,1167,0,0,0,0,0,0,845,306,16
8.3153,1,479232,windows,0,7.49362e+06,7.48853e+06,1339,0,0,0,0,0,0,917,405,17
8.33281,0,533504,windows,0,4.78624e+06,4.77601e+06,1092,0,0,0,0,0,0,784,292,16
8.56566,1,491520,windows,0,6.40974e+06,6.40974e+06,1252,0,0,0,0,0,0,891,349,12
8.59479,0,546816,windows,0,4.13732e+06,4.12775e+06,1015,0,0,0,0,0,0,725,274,16
8.83156,1,505856,windows,0,5.57238e+06,5.56568e+06,1165,0,0,0,0,0,0,815,335,15
8.86097,0,560128,windows,0,3.34386e+06,3.34027e+06,909,0,0,0,0,0,0,648,249,12
9.0931,1,520192,windows,0,4.84374e+06,4.83978e+06,1098,0,0,0,0,0,0,793,291,14
9.12354,0,575488,windows,0,2.78288e+06,2.77965e+06,825,0,0,0,0,0,0,577,236,12
9.34722,1,534528,windows,0,3.84468e+06,3.84133e+06,963,0,0,0,0,0,0,671,282,10
9.39184,0,590848,windows,0,2.36536e+06,2.36062e+06,762,0,0,0,0,0,0,531,218,13
9.60935,1,549888,windows,0,3.18452e+06,3.18423e+06,885,0,0,0,0,0,0,631,244,10
9.64517,0,605184,windows,0,2.03646e+06,2.02963e+06,713,0,0,0,0,0,0,504,195,14
9.8688,1,566272,windows,0,2.70901e+06,2.70869e+06,815,0,0,0,0,0,0,574,230,11
9.91649,0,620544,windows,0,1.61407e+06,1.61154e+06,628,0,0,0,0,0,0,430,185,13
10.1201,1,580608,windows,0,2.40852e+06,2.40157e+06,772,0,0,0,0,0,0,552,210,10
10.1709,0,632832,windows,0,1.33456e+06,1.32934e+06,574,0,0,0,0,0,0,405,160,9
10.3823,1,593920,windows,0,2.02946e+06,2.02655e+06,713,0,0,0,0,0,0,512,189,12
10.4324,0,645120,windows,0,1.14352e+06,1.14065e+06,535,0,0,0,0,0,0,381,144,10
10.6338,1,607232,windows,0,1.60874e+06,1.6062e+06,630,0,0,0,0,0,0,439,179,12
