seconds,worker,moves,phase,hard,objective,surrogate,soft,lecturerConflicts,groupConflicts,roomConflicts,groupTravel,lecturerTravel,abstractRoomOverflow,lecturerWindows,groupWindows,mixedOnlineDays
0.0613864,0,0,start,1103,8.1987e+07,8.19694e+07,2235,0,0,0,714,389,0,1490,508,237
0.0660124,1,0,start,1063,8.03852e+07,8.0377e+07,2390,0,0,0,702,361,0,1639,513,238
0.31335,0,19456,repair,788,3.04576e+08,3.04576e+08,7519,67,164,120,291,146,0,4105,3199,215
0.330754,1,19456,repair,737,2.94488e+08,2.94468e+08,7421,74,148,126,252,137,0,4058,3155,208
0.572518,0,36864,repair,671,2.61153e+08,2.61153e+08,7142,47,129,122,243,130,0,4063,2894,185
0.582384,1,36864,repair,617,2.88814e+08,2.88746e+08,7427,45,131,92,228,121,0,4124,3113,190
0.824112,0,54272,repair,546,2.82097e+08,2.82092e+08,7352,34,100,100,198,114,0,4107,3084,161
0.841063,1,54272,repair,533,2.38996e+08,2.38921e+08,6928,46,102,86,190,109,0,4036,2743,149
1.0876,0,71680,repair,443,2.60312e+08,2.60291e+08,7213,29,100,79,149,86,0,4134,2913,166
1.10766,1,70656,repair,427,2.48687e+08,2.48605e+08,6916,27,88,90,152,70,0,3846,2916,154
1.33938,0,89088,repair,370,2.21408e+08,2.2133e+08,6657,24,81,63,138,64,0,3797,2696,164
1.36509,1,90112,repair,347,2.18778e+08,2.18726e+08,6697,23,58,62,140,64,0,3920,2631,146
1.59988,0,106496,repair,309,2.06088e+08,2.06084e+08,6482,20,45,50,128,66,0,3758,2573,151
1.61641,1,109568,repair,279,2.01568e+08,2.01512e+08,6357,16,47,43,113,60,0,3656,2572,129
1.85099,0,124928,repair,251,1.85344e+08,1.85344e+08,6199,11,51,29,115,45,0,3649,2413,137
1.87466,1,126976,repair,207,1.97174e+08,1.97152e+08,6296,16,43,42,63,43,0,3605,2557,134
2.1107,0,145408,repair,185,1.65592e+08,1.65544e+08,5954,9,33,23,82,38,0,3601,2229,124
2.14132,1,146432,repair,161,1.68665e+08,1.68598e+08,5939,7,29,26,59,40,0,3527,2296,116
2.37011,0,162816,repair,144,1.6345e+08,1.63446e+08,5787,4,24,21,64,31,0,3369,2299,119
2.39167,1,163840,repair,129,1.49842e+08,1.49839e+08,5583,5,18,25,57,24,0,3318,2169,96
2.63392,0,182272,repair,106,1.41546e+08,1.41488e+08,5497,6,12,15,49,24,0,3320,2071,106
