seconds,worker,moves,phase,hard,objective,surrogate,soft,lecturerConflicts,groupConflicts,roomConflicts,groupTravel,lecturerTravel,abstractRoomOverflow,lecturerWindows,groupWindows,mixedOnlineDays
0.0585196,0,0,start,1103,8.1987e+07,8.19694e+07,2235,0,0,0,714,389,0,1490,508,237
0.0613528,1,0,start,1063,8.03852e+07,8.0377e+07,2390,0,0,0,702,361,0,1639,513,238
0.32053,0,20480,repair,788,3.04576e+08,3.04576e+08,7519,67,164,120,291,146,0,4105,3199,215
0.327479,1,20480,repair,729,2.97953e+08,2.97927e+08,7397,65,144,116,260,144,0,3993,3202,202
0.57809,0,37888,repair,662,2.63922e+08,2.63858e+08,7143,49,135,120,230,128,0,4025,2935,183
0.588876,1,36864,repair,617,2.88814e+08,2.88746e+08,7427,45,131,92,228,121,0,4124,3113,190
0.833716,0,55296,repair,546,2.82097e+08,2.82092e+08,7352,34,100,100,198,114,0,4107,3084,161
0.839764,1,53248,repair,537,2.34609e+08,2.34609e+08,6924,45,100,82,199,111,0,4100,2676,148
1.0865,0,72704,repair,443,2.60312e+08,2.60291e+08,7213,29,100,79,149,86,0,4134,2913,166
1.09539,1,68608,repair,427,2.48687e+08,2.48605e+08,6916,27,88,90,152,70,0,3846,2916,154
1.34869,0,90112,repair,364,2.22673e+08,2.22654e+08,6678,23,67,58,145,71,0,3812,2702,164
1.35174,1,83968,repair,370,2.14057e+08,2.14005e+08,6562,19,72,59,148,72,0,3795,2628,139
1.60468,1,99328,repair,317,2.06663e+08,2.0664e+08,6507,18,51,41,135,72,0,3803,2560,144
1.61319,0,106496,repair,309,2.06088e+08,2.06084e+08,6482,20,45,50,128,66,0,3758,2573,151
1.85696,1,114688,repair,264,1.89732e+08,1.89732e+08,6149,20,40,42,96,66,0,3519,2507,123
1.86752,0,121856,repair,256,1.89918e+08,1.89896e+08,6257,17,49,36,103,51,0,3660,2457,140
2.12194,1,131072,repair,200,1.87046e+08,1.87046e+08,6214,9,40,39,68,44,0,3647,2441,126
2.1261,0,138240,repair,202,1.71874e+08,1.7181e+08,5984,9,38,28,80,47,0,3524,2326,134
2.37564,1,147456,repair,154,1.72402e+08,1.72399e+08,5996,5,28,19,62,40,0,3551,2327,118
2.38152,0,154624,repair,161,1.58651e+08,1.5863e+08,5769,6,29,24,67,35,0,3436,2220,113
2.64186,1,163840,repair,129,1.49842e+08,1.49839e+08,5583,5,18,25,57,24,0,3318,2169,96
2.64453,0,171008,repair,127,1.48876e+08,1.48855e+08,5642,3,23,17,54,30,0,3414,2119,109
