seconds,worker,moves,phase,hard,objective,surrogate,soft,lecturerConflicts,groupConflicts,roomConflicts,groupTravel,lecturerTravel,abstractRoomOverflow,lecturerWindows,groupWindows,mixedOnlineDays
0.0534056,0,0,start,1080,7.69327e+07,7.69191e+07,2134,0,0,0,671,409,0,1444,477,213
0.0612605,1,0,start,1079,7.84116e+07,7.83954e+07,2240,0,0,0,671,408,0,1541,479,220
0.31323,0,23552,repair,728,2.68366e+08,2.68309e+08,7244,52,149,129,262,136,0,4191,2898,155
0.323054,1,19456,repair,763,2.7944e+08,2.79414e+08,7285,58,177,140,245,143,0,4079,3023,183
0.567049,0,46080,repair,565,2.73954e+08,2.73888e+08,7346,35,116,104,221,89,0,4169,2988,189
0.590374,1,37888,repair,620,2.58893e+08,2.58868e+08,7110,43,133,100,231,113,0,4039,2894,177
0.822035,0,68608,repair,432,2.60615e+08,2.60532e+08,7182,35,87,88,134,88,0,4116,2928,138
0.845907,1,56320,repair,516,2.43199e+08,2.43143e+08,7004,36,99,87,194,100,0,4069,2770,165
1.08065,0,90112,repair,359,2.04988e+08,2.04933e+08,6425,15,63,62,150,69,0,3737,2564,124
1.09885,1,73728,repair,414,2.4885e+08,2.48768e+08,7054,31,78,75,140,90,0,4047,2850,157
1.33274,0,110592,repair,291,1.78008e+08,1.77942e+08,6010,13,58,41,108,71,0,3493,2392,125
1.34977,1,90112,repair,340,2.21751e+08,2.21674e+08,6682,15,71,57,115,82,0,3847,2687,148
1.58307,0,131072,repair,212,1.73409e+08,1.73359e+08,6078,9,44,36,79,44,0,3651,2293,134
1.6041,1,107520,repair,291,1.92129e+08,1.92107e+08,6310,13,44,46,128,60,0,3713,2453,144
1.83623,0,151552,repair,158,1.60804e+08,1.60804e+08,5851,8,18,23,74,35,0,3538,2204,109
1.86503,1,124928,repair,239,1.77403e+08,1.77352e+08,6120,13,43,34,110,39,0,3656,2329,135
2.10203,0,169984,repair,125,1.45642e+08,1.45639e+08,5554,5,16,21,54,29,0,3360,2104,90
2.12042,1,142336,repair,178,1.80512e+08,1.80446e+08,6151,10,34,28,67,39,0,3660,2370,121
2.36439,0,186368,repair,88,1.3866e+08,1.38619e+08,5472,1,12,9,45,21,0,3339,2029,104
2.38442,1,159744,repair,135,1.66611e+08,1.66562e+08,5932,9,10,24,56,36,0,3562,2262,108
2.61483,0,202752,repair,48,1.39686e+08,1.39666e+08,5508,0,10,13,16,9,0,3373,2030,105
2.63975,1,175104,repair,116,1.38063e+08,1.3806e+08,5432,3,13,11,65,24,0,3290,2039,103
2.87082,0,218112,repair,37,1.16768e+08,1.16732e+08,5096,1,7,6,14,9,0,3187,1812,97
2.88994,1,192512,repair,69,1.45423e+08,1.4542e+08,5544,5,15,13,21,15,0,3340,2113,91
3.1248,0,234496,repair,23,1.04911e+08,1.04877e+08,4844,0,2,3,14,4,0,3050,1705,89
