seconds,worker,moves,phase,hard,objective,surrogate,soft,lecturerConflicts,groupConflicts,roomConflicts,groupTravel,lecturerTravel,abstractRoomOverflow,lecturerWindows,groupWindows,mixedOnlineDays
0.0289595,1,0,start,541,2.00948e+07,2.009e+07,1126,0,0,0,359,182,0,779,237,110
0.0310104,0,0,start,512,1.82535e+07,1.8246e+07,1107,0,0,0,335,177,0,730,248,129
0.283593,1,24576,repair,311,6.49745e+07,6.49422e+07,3599,19,70,46,121,55,0,2043,1438,118
0.295279,0,22528,repair,294,6.23329e+07,6.23292e+07,3517,13,51,51,120,59,0,1977,1418,122
0.53637,1,45056,repair,205,5.71127e+07,5.71127e+07,3354,23,37,49,57,39,0,1859,1391,104
0.546077,0,40960,repair,193,6.20419e+07,6.19999e+07,3528,13,39,36,71,34,0,1979,1436,113
0.797162,1,66560,repair,116,5.89671e+07,5.89573e+07,3456,9,29,20,39,19,0,1959,1400,97
0.80479,0,61440,repair,126,5.22059e+07,5.21675e+07,3257,3,19,27,54,23,0,1846,1313,98
1.06002,1,87040,repair,64,4.21769e+07,4.21685e+07,2930,1,12,10,26,15,0,1677,1180,73
1.0649,0,82944,repair,73,3.84863e+07,3.84622e+07,2859,2,10,12,27,22,0,1693,1092,74
1.31047,1,105472,repair,30,3.77165e+07,3.77165e+07,2830,2,2,6,14,6,0,1679,1083,68
1.32511,0,105472,repair,34,3.22031e+07,3.21818e+07,2668,0,2,4,22,6,0,1637,965,66
1.56546,1,122880,repair,10,3.02828e+07,3.02748e+07,2594,1,0,1,6,2,0,1602,931,61
1.57815,0,125952,repair,14,2.64722e+07,2.64534e+07,2457,0,2,0,9,3,0,1547,848,62
1.82194,1,140288,repair,5,2.09801e+07,2.09649e+07,2172,0,1,0,1,3,0,1364,762,46
1.83422,0,146432,repair,1,2.09775e+07,2.09628e+07,2197,0,0,1,0,0,0,1414,739,44
2.08433,1,158720,windows,0,1.64254e+07,1.64254e+07,1970,0,0,0,0,0,0,1299,630,41
2.09924,0,163840,windows,0,1.51469e+07,1.51409e+07,1870,0,0,0,0,0,0,1210,624,36
2.33586,1,175104,windows,0,1.14939e+07,1.14834e+07,1645,0,0,0,0,0,0,1083,529,33
2.35778,0,180224,windows,0,1.05841e+07,1.05729e+07,1577,0,0,0,0,0,0,1030,512,35
2.59202,1,190464,windows,0,8.36227e+06,8.36227e+06,1419,0,0,0,0,0,0,952,436,31
2.60781,0,194560,windows,0,7.88061e+06,7.87522e+06,1379,0,0,0,0,0,0,942,414,23
2.84235,1,205824,windows,0,5.86366e+06,5.85226e+06,1172,0,0,0,0,0,0,778,376,18
2.87017,0,212992,windows,0,5.11526e+06,5.11526e+06,1108,0,0,0,0,0,0,745,341,22
3.10265,1,221184,windows,0,4.3733e+06,4.37259e+06,1034,0,0,0,0,0,0,703,307,24
3.12553,0,230400,windows,0,3.77268e+06,3.76311e+06,966,0,0,0,0,0,0,665,278,23
3.35633,1,236544,windows,0,3.33557e+06,3.33557e+06,903,0,0,0,0,0,0,618,266,19
3.38626,0,248832,windows,0,2.75773e+06,2.75021e+06,829,0,0,0,0,0,0,578,232,19
3.61984,1,252928,windows,0,2.56526e+06,2.56262e+06,787,0,0,0,0,0,0,528,241,18
3.64845,0,266240,windows,0,2.05538e+06,2.05077e+06,711,0,0,0,0,0,0,488,207,16
3.88161,1,268288,windows,0,1.90749e+06,1.90521e+06,682,0,0,0,0,0,0,456,207,19
3.90442,0,283648,windows,0,1.41266e+06,1.40883e+06,594,0,0,0,0,0,0,410,168,16
4.1425,1,284672,windows,0,1.33408e+06,1.33173e+06,568,0,0,0,0,0,0,376,176,16
4.16862,0,302080,windows,0,986480,986128,500,0,0,0,0,0,0,356,132,12
4.40047,1,300032,windows,0,1.02762e+06,1.02723e+06,505,0,0,0,0,0,0,347,145,13
4.42919,0,320512,windows,0,737435,737435,428,0,0,0,0,0,0,299,120,9
4.66085,1,316416,windows,0,763055,760760,439,0,0,0,0,0,0,315,115,9
4.687,0,338944,windows,0,557320,555779,373,0,0,0,0,0,0,262,103,8
4.91992,1,332800,windows,0,574280,573988,378,0,0,0,0,0,0,260,108,10
4.93947,0,357376,windows,0,346220,345039,292,0,0,0,0,0,0,202,84,6
5.18412,1,349184,windows,0,394885,391996,313,0,0,0,0,0,0,211,92,10
5.19848,0,377856,windows,0,241250,240451,240,0,0,0,0,0,0,160,75,5
5.43441,1,365568,windows,0,297745,296811,276,0,0,0,0,0,0,187,77,12
5.44899,0,397312,windows,0,174475,173360,210,0,0,0,0,0,0,149,56,5
5.69407,1,384000,windows,0,220930,220141,237,0,0,0,0,0,0,158,68,11
5.70816,0,416768,windows,0,117500,116881,171,0,0,0,0,0,0,124,45,2
5.94855,1,401408,windows,0,175035,175035,212,0,0,0,0,0,0,141,60,11
5.9687,0,435200,windows,0,85910,85012.5,146,0,0,0,0,0,0,102,41,3
6.20759,1,419840,windows,0,127955,125964,178,0,0,0,0,0,0,111,56,11
6.22521,0,453632,windows,0,65295,64748.8,129,0,0,0,0,0,0,93,33,3
6.47082,1,438272,windows,0,97580,97287.5,159,0,0,0,0,0,0,104,45,10
6.48582,0,473088,windows,0,52360,52307.5,116,0,0,0,0,0,0,88,26,2
6.73242,1,459776,windows,0,76125,74997.5,139,0,0,0,0,0,0,87,42,10
6.73733,0,492544,windows,0,40930,40415,101,0,0,0,0,0,0,74,26,1
6.98652,1,480256,windows,0,60445,60061.2,123,0,0,0,0,0,0,77,38,8
6.99523,0,512000,windows,0,29555,29555,86,0,0,0,0,0,0,63,22,1
7.23943,1,499712,windows,0,48415,47720,109,0,0,0,0,0,0,67,35,7
7.25177,0,530432,windows,0,28015,28015,83,0,0,0,0,0,0,59,23,1
7.50132,1,520192,windows,0,42470,42470,102,0,0,0,0,0,0,62,33,7
7.50802,0,549888,windows,0,23710,23710,77,0,0,0,0,0,0,56,20,1
7.76544,1,540672,windows,0,38575,38271.2,97,0,0,0,0,0,0,61,31,5
7.7682,0,569344,windows,0,19255,19011.2,69,0,0,0,0,0,0,49,19,1
8.02499,0,588800,windows,0,17830,17455,66,0,0,0,0,0,0,46,19,1
8.0264,1,562176,windows,0,35095,35095,91,0,0,0,0,0,0,55,31,5
8.2761,0,607232,windows,0,16635,16635,64,0,0,0,0,0,0,45,18,1
8.2885,1,582656,windows,0,25005,25005,79,0,0,0,0,0,0,51,24,4
8.53501,0,625664,windows,0,15055,14841.2,61,0,0,0,0,0,0,43,17,1
8.54882,1,604160,windows,0,21680,21205,72,0,0,0,0,0,0,44,24,4
8.78647,0,644096,windows,0,14215,14215,59,0,0,0,0,0,0,41,17,1
8.80442,1,625664,windows,0,18980,18980,69,0,0,0,0,0,0,44,21,4
9.03736,0,662528,windows,0,11720,11720,53,0,0,0,0,0,0,38,15,0
9.06727,1,647168,windows,0,16085,15496.2,63,0,0,0,0,0,0,39,20,4
9.29468,0,679936,windows,0,10980,10980,51,0,0,0,0,0,0,36,15,0
9.32755,1,668672,windows,0,14710,14335,60,0,0,0,0,0,0,38,19,3
9.54861,0,697344,windows,0,10765,10581.2,51,0,0,0,0,0,0,37,14,0
9.58348,1,688128,windows,0,13230,13230,57,0,0,0,0,0,0,36,18,3
9.80846,0,714752,windows,0,10045,9596.25,49,0,0,0,0,0,0,35,14,0
9.84362,1,705536,windows,0,12530,12530,55,0,0,0,0,0,0,34,18,3
10.062,0,732160,windows,0,9190,8998.75,48,0,0,0,0,0,0,34,13,1
10.0939,1,726016,windows,0,11870,11870,53,0,0,0,0,0,0,32,18,3
10.323,0,753664,windows,0,8825,8406.25,46,0,0,0,0,0,0,33,13,0
10.3504,1,746496,windows,0,11555,11555,52,0,0,0,0,0,0,31,18,3
10.5773,0,773120,windows,0,8500,8086.25,45,0,0,0,0,0,0,32,13,0
10.6024,1,764928,windows,0,11555,11555,52,0,0,0,0,0,0,31,18,3
10.8332,0,793600,windows,0,7615,7448.75,43,0,0,0,0,0,0,29,13,1
10.8649,1,786432,windows,0,11250,11250,51,0,0,0,0,0,0,30,18,3
11.0978,0,811008,windows,0,7585,7441.25,42,0,0,0,0,0,0,29,13,0
11.1259,1,805888,windows,0,10955,10955,50,0,0,0,0,0,0,29,18,3
11.3567,0,828416,windows,0,7300,6906.25,41,0,0,0,0,0,0,28,13,0
11.3896,1,825344,windows,0,10955,10955,50,0,0,0,0,0,0,29,18,3
11.607,0,843776,windows,0,7300,6906.25,41,0,0,0,0,0,0,28,13,0
11.6525,1,843776,windows,0,10955,10955,50,0,0,0,0,0,0,29,18,3
11.8627,0,859136,windows,0,7300,6906.25,41,0,0,0,0,0,0,28,13,0
11.9079,1,861184,windows,0,10955,10955,50,0,0,0,0,0,0,29,18,3
12.1167,0,875520,windows,0,7300,6906.25,41,0,0,0,0,0,0,28,13,0
12.1695,1,878592,windows,0,7300,6906.25,41,0,0,0,0,0,0,28,13,0
12.3697,0,893952,windows,0,7025,6636.25,40,0,0,0,0,0,0,27,13,0
12.4339,1,897024,windows,0,7025,6636.25,40,0,0,0,0,0,0,27,13,0
12.6236,0,911360,windows,0,7025,6636.25,40,0,0,0,0,0,0,27,13,0
12.6849,1,914432,windows,0,6760,6376.25,39,0,0,0,0,0,0,26,13,0
12.8815,0,930816,windows,0,6760,6376.25,39,0,0,0,0,0,0,26,13,0
12.9351,1,933888,windows,0,6760,6376.25,39,0,0,0,0,0,0,26,13,0
13.1333,0,951296,windows,0,6760,6376.25,39,0,0,0,0,0,0,26,13,0
13.1961,1,955392,windows,0,6760,6376.25,39,0,0,0,0,0,0,26,13,0
13.3859,0,972800,windows,0,6760,6376.25,39,0,0,0,0,0,0,26,13,0
13.4592,1,974848,windows,0,6505,6126.25,38,0,0,0,0,0,0,25,13,0
13.6378,0,994304,windows,0,6505,6126.25,38,0,0,0,0,0,0,25,13,0
13.7129,1,994304,windows,0,5800,5436.25,35,0,0,0,0,0,0,22,13,0
13.8968,0,1016832,windows,0,6505,6126.25,38,0,0,0,0,0,0,25,13,0
13.9733,1,1016832,windows,0,5800,5436.25,35,0,0,0,0,0,0,22,13,0
14.1475,0,1038336,windows,0,6505,6126.25,38,0,0,0,0,0,0,25,13,0
14.2308,1,1038336,windows,0,5585,5226.25,34,0,0,0,0,0,0,21,13,0
14.407,0,1059840,windows,0,6505,6126.25,38,0,0,0,0,0,0,25,13,0
14.4842,1,1057792,windows,0,5380,5125,33,0,0,0,0,0,0,20,13,0
14.6571,0,1078272,windows,0,5380,5125,33,0,0,0,0,0,0,20,13,0
14.7447,1,1077248,windows,0,5185,4930,32,0,0,0,0,0,0,19,13,0
14.9161,0,1096704,windows,0,5380,5125,33,0,0,0,0,0,0,20,13,0
14.9955,1,1095680,windows,0,5185,4930,32,0,0,0,0,0,0,19,13,0
15.1783,0,1116160,windows,0,5185,4930,32,0,0,0,0,0,0,19,13,0
15.2505,1,1114112,windows,0,5185,4930,32,0,0,0,0,0,0,19,13,0
15.4316,0,1134592,windows,0,5185,4930,32,0,0,0,0,0,0,19,13,0
15.5092,1,1132544,windows,0,4420,4321.25,31,0,0,0,0,0,0,20,11,0
15.6886,0,1153024,windows,0,5185,4930,32,0,0,0,0,0,0,19,13,0
15.7636,1,1150976,windows,0,4225,4131.25,30,0,0,0,0,0,0,19,11,0
15.9398,0,1169408,windows,0,5000,4745,31,0,0,0,0,0,0,18,13,0
16.0209,1,1169408,windows,0,4225,4131.25,30,0,0,0,0,0,0,19,11,0
16.2101,0,1182720,windows,0,4825,4570,30,0,0,0,0,0,0,17,13,0
16.2919,1,1181696,windows,0,4040,4040,29,0,0,0,0,0,0,18,11,0
16.4685,0,1190912,windows,0,4825,4570,30,0,0,0,0,0,0,17,13,0
16.5433,1,1195008,windows,0,4040,4040,29,0,0,0,0,0,0,18,11,0
16.7249,0,1210368,windows,0,4825,4570,30,0,0,0,0,0,0,17,13,0
16.7961,1,1214464,windows,0,4040,4040,29,0,0,0,0,0,0,18,11,0
16.9913,0,1230848,windows,0,4825,4570,30,0,0,0,0,0,0,17,13,0
17.0509,1,1232896,windows,0,4040,4040,29,0,0,0,0,0,0,18,11,0
17.2488,0,1247232,windows,0,4660,4405,29,0,0,0,0,0,0,16,13,0
17.3164,1,1249280,windows,0,4040,4040,29,0,0,0,0,0,0,18,11,0
17.5108,0,1263616,windows,0,4660,4405,29,0,0,0,0,0,0,16,13,0
17.5728,1,1265664,windows,0,4040,4040,29,0,0,0,0,0,0,18,11,0
17.7699,0,1283072,windows,0,4660,4405,29,0,0,0,0,0,0,16,13,0
17.8295,1,1283072,windows,0,4040,4040,29,0,0,0,0,0,0,18,11,0
18.0221,0,1303552,windows,0,4660,4405,29,0,0,0,0,0,0,16,13,0
18.0864,1,1300480,windows,0,4040,4040,29,0,0,0,0,0,0,18,11,0
