seconds,worker,moves,phase,hard,objective,surrogate,soft,lecturerConflicts,groupConflicts,roomConflicts,groupTravel,lecturerTravel,abstractRoomOverflow,lecturerWindows,groupWindows,mixedOnlineDays
0.048097,0,0,start,1092,8.12804e+07,8.12659e+07,2283,0,0,0,706,386,0,1608,459,216
0.061863,1,0,start,1111,8.33816e+07,8.33669e+07,2294,0,0,0,708,403,0,1578,489,227
0.299968,0,25600,repair,720,2.89333e+08,2.89244e+08,7371,55,163,113,239,150,0,4048,3119,204
0.315424,1,20480,repair,758,3.19084e+08,3.19078e+08,7780,66,161,151,254,126,0,4351,3251,178
0.562256,0,48128,repair,568,2.76717e+08,2.76696e+08,7427,41,116,115,182,114,0,4273,2981,173
0.571993,1,38912,repair,629,2.77314e+08,2.77248e+08,7345,31,129,118,235,116,0,4164,3005,176
0.827205,0,66560,repair,444,2.59584e+08,2.5958e+08,7183,28,98,81,154,83,0,4112,2915,156
0.827539,1,60416,repair,502,2.71732e+08,2.71711e+08,7274,25,91,98,191,97,0,4099,3009,166
1.07764,0,83968,repair,376,2.18079e+08,2.18007e+08,6654,25,89,54,132,76,0,3863,2641,150
1.08329,1,81920,repair,403,2.14254e+08,2.14202e+08,6542,16,85,69,135,98,0,3769,2635,138
1.33427,0,101376,repair,312,2.00011e+08,2.00006e+08,6362,20,48,47,131,66,0,3667,2546,149
1.34297,1,104448,repair,315,1.96558e+08,1.96539e+08,6330,12,50,48,134,71,0,3687,2504,139
1.59813,0,118784,repair,251,1.94516e+08,1.94462e+08,6353,13,35,46,98,59,0,3754,2470,129
1.60246,1,125952,repair,235,1.9936e+08,1.9929e+08,6305,11,38,43,90,53,0,3624,2569,112
1.85477,0,136192,repair,194,1.79344e+08,1.79279e+08,6173,13,34,35,78,34,0,3722,2332,119
1.86111,1,147456,repair,175,1.68051e+08,1.68001e+08,5831,14,25,22,71,43,0,3383,2342,106
2.11135,0,157696,repair,147,1.57168e+08,1.57124e+08,5785,6,20,22,60,39,0,3458,2194,133
2.1187,1,168960,repair,137,1.47691e+08,1.47644e+08,5527,6,21,16,65,29,0,3249,2168,110
2.37255,0,179200,repair,103,1.4568e+08,1.45634e+08,5540,4,19,12,42,26,0,3291,2131,118
2.37951,1,190464,repair,89,1.31609e+08,1.31567e+08,5403,4,19,14,32,20,0,3366,1929,108
2.62539,0,199680,repair,64,1.31441e+08,1.31383e+08,5361,3,15,9,26,11,0,3320,1949,92
2.63744,1,210944,repair,53,1.23093e+08,1.23039e+08,5229,1,10,7,22,13,0,3275,1859,95
2.88663,0,220160,repair,39,1.16159e+08,1.16107e+08,5040,0,4,6,14,15,0,3110,1837,93
2.90154,1,231424,repair,31,1.07506e+08,1.07506e+08,4898,0,5,2,17,7,0,3083,1728,87
3.14426,0,239616,repair,20,1.0789e+08,1.07853e+08,4918,0,2,2,9,7,0,3112,1721,85
3.15289,1,249856,repair,16,9.95159e+07,9.94651e+07,4689,1,0,0,13,2,0,2925,1681,83
3.4066,0,259072,repair,7,9.89963e+07,9.8946e+07,4686,0,1,4,1,1,0,2943,1666,77
3.41324,1,269312,repair,5,9.27512e+07,9.27512e+07,4600,0,1,1,1,2,0,2930,1574,96
3.65751,0,278528,repair,5,7.60408e+07,7.60116e+07,4184,0,0,2,1,2,0,2750,1381,53
3.67541,1,287744,windows,0,7.11773e+07,7.11645e+07,4024,0,0,0,0,0,0,2558,1383,83
3.9136,0,300032,repair,1,6.51947e+07,6.51805e+07,3862,0,0,0,0,1,0,2517,1293,52
3.93145,1,307200,windows,0,5.47594e+07,5.47594e+07,3592,0,0,0,0,0,0,2354,1159,79
4.17167,0,319488,windows,0,5.23015e+07,5.22778e+07,3477,0,0,0,0,0,0,2312,1130,35
