seconds,worker,moves,phase,hard,objective,surrogate,soft,lecturerConflicts,groupConflicts,roomConflicts,groupTravel,lecturerTravel,abstractRoomOverflow,lecturerWindows,groupWindows,mixedOnlineDays
0.0491326,0,0,start,1092,8.12804e+07,8.12659e+07,2283,0,0,0,706,386,0,1608,459,216
0.0632911,1,0,start,1111,8.33816e+07,8.33669e+07,2294,0,0,0,708,403,0,1578,489,227
0.315447,0,21504,repair,755,2.83236e+08,2.83154e+08,7268,58,172,123,256,146,0,3988,3081,199
0.325418,1,20480,repair,758,3.19084e+08,3.19078e+08,7780,66,161,151,254,126,0,4351,3251,178
0.566295,0,38912,repair,625,2.73137e+08,2.73131e+08,7265,46,122,98,241,118,0,4077,2998,190
0.578718,1,37888,repair,641,2.74758e+08,2.74753e+08,7316,34,138,116,233,120,0,4167,2981,168
0.830261,0,58368,repair,506,2.68083e+08,2.68019e+08,7304,34,102,110,177,83,0,4186,2951,167
0.833543,1,58368,repair,510,2.73083e+08,2.73017e+08,7278,31,94,94,184,107,0,4078,3026,174
1.08873,0,75776,repair,414,2.22596e+08,2.22542e+08,6657,23,81,66,153,91,0,3800,2698,159
1.09645,1,75776,repair,424,2.36642e+08,2.36562e+08,6837,25,79,72,142,106,0,3904,2790,143
1.3425,0,93184,repair,341,2.00104e+08,2.00049e+08,6381,19,53,61,137,71,0,3695,2533,153
1.35595,1,93184,repair,358,2.05808e+08,2.05808e+08,6428,21,70,51,141,75,0,3718,2579,131
1.60063,0,113664,repair,272,1.87199e+08,1.87199e+08,6162,19,49,34,112,58,0,3568,2461,133
1.6214,1,110592,repair,292,1.99112e+08,1.99094e+08,6330,12,40,52,122,66,0,3645,2549,136
1.85667,0,131072,repair,199,1.97636e+08,1.97567e+08,6436,13,30,43,69,44,0,3825,2481,130
1.88201,1,126976,repair,219,2.0928e+08,2.09223e+08,6409,11,38,46,83,41,0,3629,2664,116
2.11029,0,150528,repair,160,1.6651e+08,1.66466e+08,6005,7,27,26,58,42,0,3661,2218,126
2.14475,1,144384,repair,186,1.6126e+08,1.61211e+08,5756,11,31,27,77,40,0,3372,2271,113
2.36236,0,168960,repair,122,1.53137e+08,1.53089e+08,5672,6,21,18,45,32,0,3355,2191,126
2.40428,1,161792,repair,152,1.58811e+08,1.5879e+08,5782,8,22,27,67,28,0,3462,2213,107
2.61517,0,188416,repair,91,1.32865e+08,1.32862e+08,5375,2,19,13,39,18,0,3301,1973,101
2.66082,1,178176,repair,118,1.33862e+08,1.33843e+08,5361,6,22,10,50,30,0,3261,2000,100
2.86953,0,206848,repair,55,1.23139e+08,1.23102e+08,5220,0,13,6,24,12,0,3273,1861,86
2.91928,1,194560,repair,79,1.31612e+08,1.31608e+08,5373,4,16,18,24,17,0,3312,1953,108
3.13171,0,226304,repair,32,1.14536e+08,1.14536e+08,5045,0,4,4,13,11,0,3176,1787,82
3.17573,1,210944,repair,53,1.23093e+08,1.23039e+08,5229,1,10,7,22,13,0,3275,1859,95
3.38186,0,244736,repair,15,1.05321e+08,1.05304e+08,4835,1,1,2,5,6,0,3041,1716,78
3.43491,1,229376,repair,31,1.11739e+08,1.11739e+08,4985,1,4,1,18,7,0,3129,1768,88
3.63453,0,264192,repair,7,9.89963e+07,9.8946e+07,4686,0,1,4,1,1,0,2943,1666,77
3.69546,1,250880,repair,16,9.85259e+07,9.84756e+07,4690,1,0,0,13,2,0,2955,1653,82
3.89467,0,284672,repair,3,7.32932e+07,7.32919e+07,4118,0,0,1,1,1,0,2734,1339,45
3.95182,1,271360,repair,5,9.27512e+07,9.27512e+07,4600,0,1,1,1,2,0,2930,1574,96
4.14622,0,304128,repair,1,6.20123e+07,6.19875e+07,3792,0,0,0,0,1,0,2501,1238,53
4.20834,1,291840,windows,0,6.70399e+07,6.7001e+07,3948,0,0,0,0,0,0,2551,1309,88
4.40797,0,320512,windows,0,5.16363e+07,5.16126e+07,3446,0,0,0,0,0,0,2277,1133,36
4.46694,1,311296,windows,0,5.20618e+07,5.20276e+07,3490,0,0,0,0,0,0,2274,1141,75
4.66183,0,333824,windows,0,4.24642e+07,4.2463e+07,3176,0,0,0,0,0,0,2160,977,39
4.72542,1,329728,windows,0,4.044e+07,4.044e+07,3059,0,0,0,0,0,0,1998,1010,51
4.92504,0,348160,windows,0,3.49184e+07,3.49184e+07,2874,0,0,0,0,0,0,1942,895,37
4.98038,1,347136,windows,0,3.26097e+07,3.26097e+07,2768,0,0,0,0,0,0,1827,890,51
5.19296,0,362496,windows,0,2.94595e+07,2.94329e+07,2612,0,0,0,0,0,0,1733,849,30
5.2356,1,364544,windows,0,2.67174e+07,2.67163e+07,2511,0,0,0,0,0,0,1681,792,38
5.45507,0,375808,windows,0,2.54203e+07,2.53957e+07,2440,0,0,0,0,0,0,1634,776,30
5.49316,1,381952,windows,0,2.23582e+07,2.23365e+07,2329,0,0,0,0,0,0,1603,688,38
5.72409,0,390144,windows,0,2.20827e+07,2.20683e+07,2301,0,0,0,0,0,0,1589,687,25
5.74545,1,399360,windows,0,1.76559e+07,1.76549e+07,2061,0,0,0,0,0,0,1408,621,32
5.98161,0,403456,windows,0,1.80675e+07,1.80605e+07,2070,0,0,0,0,0,0,1402,641,27
6.00624,1,417792,windows,0,1.43456e+07,1.43456e+07,1843,0,0,0,0,0,0,1242,575,26
6.2359,0,416768,windows,0,1.53195e+07,1.53129e+07,1917,0,0,0,0,0,0,1322,573,22
6.26829,1,436224,windows,0,1.17124e+07,1.17124e+07,1691,0,0,0,0,0,0,1191,480,20
6.4896,0,430080,windows,0,1.33361e+07,1.33195e+07,1802,0,0,0,0,0,0,1263,517,22
6.52257,1,453632,windows,0,9.99468e+06,9.98934e+06,1551,0,0,0,0,0,0,1069,462,20
6.7577,0,444416,windows,0,1.16043e+07,1.15984e+07,1682,0,0,0,0,0,0,1168,488,26
6.77845,1,468992,windows,0,7.99546e+06,7.98197e+06,1405,0,0,0,0,0,0,989,393,23
7.01117,0,457728,windows,0,1.01375e+07,1.01321e+07,1570,0,0,0,0,0,0,1074,466,30
7.03441,1,485376,windows,0,6.81152e+06,6.80638e+06,1295,0,0,0,0,0,0,911,364,20
7.27217,0,470016,windows,0,8.52276e+06,8.51383e+06,1444,0,0,0,0,0,0,1008,414,22
7.29126,1,501760,windows,0,5.76973e+06,5.76294e+06,1191,0,0,0,0,0,0,830,340,21
7.54047,0,483328,windows,0,7.30082e+06,7.29611e+06,1340,0,0,0,0,0,0,943,377,20
7.55944,1,517120,windows,0,4.98132e+06,4.97496e+06,1104,0,0,0,0,0,0,768,318,18
7.80402,0,495616,windows,0,6.4162e+06,6.40948e+06,1264,0,0,0,0,0,0,911,336,17
7.81551,1,531456,windows,0,4.0988e+06,4.09309e+06,1001,0,0,0,0,0,0,701,286,14
8.07293,0,509952,windows,0,5.50028e+06,5.49575e+06,1162,0,0,0,0,0,0,824,324,14
8.07359,1,548864,windows,0,3.31336e+06,3.3049e+06,906,0,0,0,0,0,0,651,244,11
8.32507,0,523264,windows,0,4.82838e+06,4.82204e+06,1095,0,0,0,0,0,0,785,295,15
8.32727,1,565248,windows,0,2.76727e+06,2.75977e+06,822,0,0,0,0,0,0,586,229,7
8.58152,0,536576,windows,0,3.83773e+06,3.8323e+06,971,0,0,0,0,0,0,686,272,13
8.59088,1,582656,windows,0,2.28944e+06,2.28234e+06,747,0,0,0,0,0,0,527,212,8
8.84128,0,549888,windows,0,3.2035e+06,3.19535e+06,895,0,0,0,0,0,0,656,229,10
8.85681,1,601088,windows,0,1.75885e+06,1.75655e+06,654,0,0,0,0,0,0,460,187,7
9.09246,0,563200,windows,0,2.74214e+06,2.73774e+06,828,0,0,0,0,0,0,611,209,8
9.11134,1,618496,windows,0,1.38428e+06,1.38112e+06,588,0,0,0,0,0,0,420,158,10
9.35535,0,577536,windows,0,2.34919e+06,2.34636e+06,768,0,0,0,0,0,0,566,193,9
9.36374,1,634880,windows,0,1.15837e+06,1.15519e+06,537,0,0,0,0,0,0,382,146,9
9.61295,0,591872,windows,0,2.06293e+06,2.06267e+06,719,0,0,0,0,0,0,526,184,9
9.62389,1,653312,windows,0,967440,965409,494,0,0,0,0,0,0,360,126,8
9.86306,0,604160,windows,0,1.59559e+06,1.59533e+06,628,0,0,0,0,0,0,446,173,9
9.88325,1,668672,windows,0,767905,765358,436,0,0,0,0,0,0,311,119,6
10.1296,0,620544,windows,0,1.25804e+06,1.25775e+06,558,0,0,0,0,0,0,392,156,10
10.1475,1,683008,windows,0,604220,602739,382,0,0,0,0,0,0,262,114,6
10.3941,0,637952,windows,0,1.04094e+06,1.03642e+06,512,0,0,0,0,0,0,367,135,10
10.4142,1,697344,windows,0,508955,507589,352,0,0,0,0,0,0,245,102,5
10.6506,0,654336,windows,0,882370,882048,473,0,0,0,0,0,0,338,124,11
10.6707,1,711680,windows,0,440450,438392,327,0,0,0,0,0,0,226,96,5
10.9039,0,671744,windows,0,641905,638336,400,0,0,0,0,0,0,287,107,6
10.929,1,726016,windows,0,385280,385108,311,0,0,0,0,0,0,222,83,6
11.1598,0,689152,windows,0,527510,524406,366,0,0,0,0,0,0,274,87,5
11.1874,1,738304,windows,0,288615,286116,263,0,0,0,0,0,0,177,81,5
11.4264,0,704512,windows,0,453310,453310,337,0,0,0,0,0,0,244,88,5
11.4595,1,752640,windows,0,225905,223554,236,0,0,0,0,0,0,161,69,6
11.6784,0,718848,windows,0,383875,382761,310,0,0,0,0,0,0,223,82,5
11.7289,1,768000,windows,0,190370,190168,218,0,0,0,0,0,0,148,63,7
11.9444,0,735232,windows,0,305065,304071,276,0,0,0,0,0,0,199,73,4
11.9935,1,783360,windows,0,170050,169908,207,0,0,0,0,0,0,146,56,5
12.2064,0,752640,windows,0,229505,229392,240,0,0,0,0,0,0,173,63,4
12.2492,1,797696,windows,0,148125,146204,187,0,0,0,0,0,0,123,60,4
12.4635,0,770048,windows,0,185590,184495,216,0,0,0,0,0,0,158,55,3
12.5054,1,808960,windows,0,113905,112738,164,0,0,0,0,0,0,107,53,4
12.7181,0,788480,windows,0,158315,157320,200,0,0,0,0,0,0,147,50,3
12.757,1,823296,windows,0,91010,90052.5,149,0,0,0,0,0,0,102,44,3
12.9843,0,806912,windows,0,121540,120921,175,0,0,0,0,0,0,124,47,4
13.013,1,837632,windows,0,79970,79887.5,140,0,0,0,0,0,0,96,41,3
13.2405,0,823296,windows,0,84555,84061.2,144,0,0,0,0,0,0,99,42,3
13.2735,1,852992,windows,0,64520,64407.5,125,0,0,0,0,0,0,82,39,4
13.503,0,840704,windows,0,65270,65270,128,0,0,0,0,0,0,90,35,3
13.5345,1,868352,windows,0,58390,58307.5,120,0,0,0,0,0,0,82,35,3
13.7626,0,858112,windows,0,56115,55520,120,0,0,0,0,0,0,87,30,3
13.7889,1,882688,windows,0,45705,45652.5,104,0,0,0,0,0,0,69,33,2
14.0136,0,875520,windows,0,49295,49295,113,0,0,0,0,0,0,83,27,3
14.044,1,897024,windows,0,44405,44008.8,103,0,0,0,0,0,0,69,32,2
14.2644,0,891904,windows,0,31670,30846.2,88,0,0,0,0,0,0,58,27,3
14.31,1,912384,windows,0,39820,39152.5,97,0,0,0,0,0,0,64,31,2
14.524,0,910336,windows,0,26765,26765,81,0,0,0,0,0,0,55,24,2
14.5719,1,930816,windows,0,35545,35492.5,92,0,0,0,0,0,0,61,29,2
14.7742,0,927744,windows,0,24745,24745,78,0,0,0,0,0,0,53,23,2
14.8243,1,950272,windows,0,34345,33998.8,90,0,0,0,0,0,0,59,29,2
15.0365,0,947200,windows,0,22300,22051.2,74,0,0,0,0,0,0,50,22,2
15.0832,1,969728,windows,0,22615,22615,73,0,0,0,0,0,0,49,23,1
15.2918,0,964608,windows,0,17645,17290,67,0,0,0,0,0,0,47,18,2
15.3451,1,989184,windows,0,22595,22120,72,0,0,0,0,0,0,47,24,1
15.5481,0,982016,windows,0,14485,14485,61,0,0,0,0,0,0,43,16,2
15.5984,1,1007616,windows,0,20290,20071.2,68,0,0,0,0,0,0,44,23,1
15.8149,0,999424,windows,0,13505,13311.2,58,0,0,0,0,0,0,39,17,2
15.8528,1,1026048,windows,0,19390,19390,67,0,0,0,0,0,0,44,22,1
16.0697,0,1015808,windows,0,12845,12651.2,57,0,0,0,0,0,0,39,16,2
16.1041,1,1043456,windows,0,16030,15612.5,61,0,0,0,0,0,0,40,20,1
16.3292,0,1034240,windows,0,11720,11720,54,0,0,0,0,0,0,36,16,2
16.3603,1,1062912,windows,0,14095,13888.8,57,0,0,0,0,0,0,37,19,1
16.5827,0,1050624,windows,0,10400,9936.25,51,0,0,0,0,0,0,34,15,2
16.6186,1,1079296,windows,0,13030,12838.8,54,0,0,0,0,0,0,34,19,1
16.8349,0,1064960,windows,0,10165,9716.25,51,0,0,0,0,0,0,35,14,2
16.8805,1,1097728,windows,0,12370,11972.5,52,0,0,0,0,0,0,32,19,1
17.086,0,1079296,windows,0,9820,9376.25,50,0,0,0,0,0,0,34,14,2
17.1346,1,1115136,windows,0,10895,10497.5,47,0,0,0,0,0,0,27,19,1
17.3417,0,1094656,windows,0,9160,9001.25,48,0,0,0,0,0,0,32,14,2
17.388,1,1131520,windows,0,10015,9657.5,47,0,0,0,0,0,0,29,17,1
17.5941,0,1112064,windows,0,7960,7960,44,0,0,0,0,0,0,28,14,2
17.638,1,1147904,windows,0,9355,8873.75,46,0,0,0,0,0,0,29,16,1
17.8518,0,1131520,windows,0,7960,7960,44,0,0,0,0,0,0,28,14,2
17.8974,1,1166336,windows,0,9355,8873.75,46,0,0,0,0,0,0,29,16,1
18.1025,0,1148928,windows,0,7685,7685,43,0,0,0,0,0,0,27,14,2
18.1551,1,1183744,windows,0,8795,8457.5,44,0,0,0,0,0,0,27,16,1
18.363,0,1165312,windows,0,7420,7281.25,43,0,0,0,0,0,0,28,13,2
18.4055,1,1201152,windows,0,8795,8457.5,44,0,0,0,0,0,0,27,16,1
18.6212,0,1181696,windows,0,7420,7281.25,43,0,0,0,0,0,0,28,13,2
18.6571,1,1218560,windows,0,8275,8128.75,42,0,0,0,0,0,0,25,16,1
18.8867,0,1199104,windows,0,7145,6890,42,0,0,0,0,0,0,27,13,2
18.91,1,1235968,windows,0,8030,7573.75,41,0,0,0,0,0,0,24,16,1
19.1442,0,1214464,windows,0,6880,6625,41,0,0,0,0,0,0,26,13,2
19.1643,1,1252352,windows,0,7795,7343.75,40,0,0,0,0,0,0,23,16,1
19.4044,0,1230848,windows,0,6880,6625,41,0,0,0,0,0,0,26,13,2
19.4331,1,1268736,windows,0,7175,6743.75,39,0,0,0,0,0,0,23,15,1
19.6563,0,1246208,windows,0,6880,6625,41,0,0,0,0,0,0,26,13,2
19.688,1,1282048,windows,0,7175,6743.75,39,0,0,0,0,0,0,23,15,1
19.9166,0,1262592,windows,0,6625,6246.25,40,0,0,0,0,0,0,25,13,2
19.9495,1,1294336,windows,0,6335,6017.5,35,0,0,0,0,0,0,19,15,1
20.1794,0,1280000,windows,0,6555,6320,40,0,0,0,0,0,0,27,12,1
20.2112,1,1308672,windows,0,6335,6017.5,35,0,0,0,0,0,0,19,15,1
20.4353,0,1298432,windows,0,6555,6320,40,0,0,0,0,0,0,27,12,1
20.476,1,1323008,windows,0,6335,6017.5,35,0,0,0,0,0,0,19,15,1
20.6935,0,1315840,windows,0,5790,5555,37,0,0,0,0,0,0,24,12,1
20.7346,1,1337344,windows,0,6335,6017.5,35,0,0,0,0,0,0,19,15,1
20.9503,0,1334272,windows,0,5790,5555,37,0,0,0,0,0,0,24,12,1
21.0034,1,1351680,windows,0,5790,5555,37,0,0,0,0,0,0,24,12,1
21.2131,0,1353728,windows,0,5790,5555,37,0,0,0,0,0,0,24,12,1
21.2571,1,1366016,windows,0,5790,5555,37,0,0,0,0,0,0,24,12,1
21.4646,0,1372160,windows,0,5790,5555,37,0,0,0,0,0,0,24,12,1
21.521,1,1380352,windows,0,5790,5555,37,0,0,0,0,0,0,24,12,1
21.7249,0,1390592,windows,0,5790,5555,37,0,0,0,0,0,0,24,12,1
21.7815,1,1395712,windows,0,5790,5555,37,0,0,0,0,0,0,24,12,1
21.9809,0,1406976,windows,0,5790,5555,37,0,0,0,0,0,0,24,12,1
22.0385,1,1412096,windows,0,5790,5555,37,0,0,0,0,0,0,24,12,1
22.2472,0,1425408,windows,0,5790,5555,37,0,0,0,0,0,0,24,12,1
