seconds,worker,moves,phase,hard,objective,surrogate,soft,lecturerConflicts,groupConflicts,roomConflicts,groupTravel,lecturerTravel,abstractRoomOverflow,lecturerWindows,groupWindows,mixedOnlineDays
0.0681248,1,0,start,1146,8.51735e+07,8.51582e+07,2146,0,0,0,731,415,0,1486,450,210
0.0704263,0,0,start,1096,8.18756e+07,8.18691e+07,2325,0,0,0,690,406,0,1631,474,220
0.328571,0,18432,repair,766,2.91136e+08,2.91054e+08,7411,56,168,124,281,137,0,4135,3092,184
0.330081,1,19456,repair,803,2.94726e+08,2.94698e+08,7581,80,192,152,256,123,0,4333,3051,197
0.583473,0,35840,repair,633,2.67218e+08,2.67213e+08,7199,54,136,109,198,136,0,4070,2957,172
0.585534,1,35840,repair,661,2.87924e+08,2.87862e+08,7484,36,148,113,221,143,0,4236,3060,188
0.835165,0,50176,repair,553,2.44437e+08,2.44432e+08,6927,30,123,77,194,129,0,3951,2813,163
0.844388,1,53248,repair,549,2.73865e+08,2.73845e+08,7196,37,112,110,189,101,0,3974,3063,159
1.08825,0,66560,repair,437,2.5688e+08,2.56798e+08,7169,35,104,73,142,83,0,4157,2879,133
1.1079,1,69632,repair,458,2.42923e+08,2.42903e+08,6952,34,116,83,141,84,0,4000,2809,143
1.34716,0,83968,repair,368,2.23755e+08,2.23682e+08,6728,23,80,63,128,74,0,3892,2686,150
1.36505,1,86016,repair,382,2.27491e+08,2.27467e+08,6728,22,56,66,143,95,0,3841,2734,153
1.59782,0,99328,repair,313,2.04229e+08,2.04211e+08,6434,16,51,58,132,56,0,3720,2569,145
1.62002,1,101376,repair,331,2.02771e+08,2.02702e+08,6392,15,70,53,119,74,0,3698,2562,132
1.86432,0,115712,repair,266,1.77117e+08,1.77117e+08,6055,7,39,36,118,66,0,3578,2352,125
1.88157,1,117760,repair,276,1.87141e+08,1.8707e+08,6209,15,47,44,106,64,0,3637,2435,137
2.12745,0,132096,repair,195,1.76811e+08,1.76765e+08,6159,11,40,38,60,46,0,3734,2300,125
2.14052,1,135168,repair,211,1.9544e+08,1.9544e+08,6348,10,38,37,87,39,0,3718,2497,133
2.39146,1,152576,repair,160,1.75039e+08,1.74989e+08,6095,3,27,22,75,33,0,3650,2315,130
2.39224,0,148480,repair,162,1.56981e+08,1.56933e+08,5730,9,30,23,71,29,0,3417,2209,104
2.6543,1,172032,repair,122,1.56694e+08,1.56673e+08,5797,8,15,19,51,29,0,3500,2175,122
2.65638,0,164864,repair,120,1.57786e+08,1.57739e+08,5744,12,12,13,56,27,0,3411,2223,110
2.90649,0,179200,repair,92,1.49157e+08,1.49094e+08,5630,3,11,11,46,21,0,3402,2130,98
2.90657,1,187392,repair,95,1.46316e+08,1.4627e+08,5526,8,11,10,47,19,0,3256,2152,118
3.16081,1,204800,repair,64,1.29239e+08,1.29239e+08,5306,6,15,6,21,16,0,3264,1944,98
3.17001,0,194560,repair,66,1.3103e+08,1.31011e+08,5336,3,13,8,24,18,0,3286,1958,92
3.41392,1,223232,repair,34,1.28778e+08,1.28759e+08,5310,1,5,2,14,12,0,3296,1926,88
3.42551,0,210944,repair,41,1.24199e+08,1.24182e+08,5248,5,2,4,21,9,0,3277,1873,98
3.66601,1,242688,repair,23,1.07468e+08,1.07416e+08,4887,1,2,4,9,7,0,3067,1735,85
3.6909,0,227328,repair,28,1.11231e+08,1.11213e+08,4934,2,1,5,14,6,0,3048,1796,90
3.91872,1,261120,repair,7,1.00408e+08,1.00357e+08,4794,0,0,0,4,3,0,3084,1622,88
3.95576,0,242688,repair,16,1.0151e+08,1.0151e+08,4752,2,0,2,4,8,0,2991,1682,79
4.17171,1,279552,repair,2,8.41503e+07,8.41503e+07,4392,0,0,0,2,0,0,2850,1473,69
4.2171,0,258048,repair,3,9.83929e+07,9.83431e+07,4677,0,1,1,1,0,0,2960,1650,67
4.43241,1,297984,repair,1,7.0725e+07,7.07231e+07,4057,0,0,0,1,0,0,2670,1322,65
4.47766,0,273408,repair,2,7.92572e+07,7.92572e+07,4294,0,1,0,1,0,0,2834,1396,64
4.69046,1,316416,repair,1,5.83617e+07,5.83601e+07,3677,0,0,0,1,0,0,2418,1205,54
