dataset,scenario,lecturers,impl,giniHours,giniUtilisation,lecturersWithCeiling,lecturersTotal
baseline-10,baseline,10,after,0.086144,0.085150,10,10
baseline-10,baseline,10,before,0.160041,0.156832,10,10
baseline-160,baseline,160,after,0.138434,0.063328,160,160
baseline-160,baseline,160,before,0.216575,0.168486,160,160
baseline-20,baseline,20,after,0.114132,0.075370,20,20
baseline-20,baseline,20,before,0.184545,0.164852,20,20
baseline-320,baseline,320,after,0.144409,0.082550,320,320
baseline-320,baseline,320,before,0.200123,0.152856,320,320
baseline-40,baseline,40,after,0.126192,0.064429,40,40
baseline-40,baseline,40,before,0.195557,0.151115,40,40
baseline-80,baseline,80,after,0.147868,0.081576,80,80
baseline-80,baseline,80,before,0.193951,0.139309,80,80
dense-candidates-10,dense-candidates,10,after,0.066837,0.022003,10,10
dense-candidates-10,dense-candidates,10,before,0.199707,0.167971,10,10
dense-candidates-160,dense-candidates,160,after,0.127840,0.107266,160,160
dense-candidates-160,dense-candidates,160,before,0.193569,0.186830,160,160
dense-candidates-20,dense-candidates,20,after,0.128683,0.112029,20,20
dense-candidates-20,dense-candidates,20,before,0.174251,0.171648,20,20
dense-candidates-320,dense-candidates,320,after,0.132367,0.108495,320,320
dense-candidates-320,dense-candidates,320,before,0.212213,0.205359,320,320
dense-candidates-40,dense-candidates,40,after,0.140696,0.118668,40,40
dense-candidates-40,dense-candidates,40,before,0.196315,0.184899,40,40
dense-candidates-80,dense-candidates,80,after,0.125082,0.101239,80,80
dense-candidates-80,dense-candidates,80,before,0.203903,0.193203,80,80
gaps-mode-10,gaps-mode,10,after,0.088635,0.070073,10,10
gaps-mode-10,gaps-mode,10,before,0.150900,0.123242,10,10
gaps-mode-160,gaps-mode,160,after,0.144039,0.074907,160,160
gaps-mode-160,gaps-mode,160,before,0.195026,0.136619,160,160
gaps-mode-20,gaps-mode,20,after,0.140346,0.075355,20,20
gaps-mode-20,gaps-mode,20,before,0.170419,0.107269,20,20
gaps-mode-320,gaps-mode,320,after,0.143161,0.078874,320,320
gaps-mode-320,gaps-mode,320,before,0.184930,0.131753,320,320
gaps-mode-40,gaps-mode,40,after,0.125969,0.100111,40,40
