dataset,scenario,lecturers,mode,seed,courses,positions,slotsRequested,candidateEdges,candidatesPerPosition,students,demandRatio,constraintsPerLecturer,msMean,msMin,msMax,msSd,repeats,msSetup,msGreedy,msRepair,msImprove,msIndividual,msReport,usPerSlot,slotsPerSecond,opsCanTake,opsFeasibleScan,opsFeasibleCandidates,opsGreedySortComparisons,opsLoadAdd,opsLoadRemove,opsDeficitEvaluations,opsDeficitLecturerScans,repairPasses,repairProbes,repairMoves,improvePasses,improveProbes,improveMoves,canTakePerSlot,slotsFilled,fillRate,totalDesirability,desirabilityBound,optimalityGap,meanDesirability,boundSlots,structuralErrors,ceilingViolations,ceilingViolationsBySearch,ceilingViolationsByIndividual,ceilingViolationsPreExisting,ceilingOverrunHours,floorViolations,floorShortfall,lecturersBelowFloor,hoursMean,hoursSd,hoursCv,hoursMin,hoursMax,hoursGini,coursesMean,coursesMax,utilisationMean,lecturersWithNoWork,studentsPlaced,studentsTotal,studentPlacementRate,issuesTotal,issuesUnfilled,issuesUnmetMinimum,issuesNoCandidates,issuesNoStudents,issuesOverCeiling,msArithmeticMean,planFingerprint
baseline-10,baseline,10,all,4080582519,18,111,113,444,4,247,0.81,4.7,1.482,1.482,2.646,0.446,5,0.315,0.546,0.149,0.344,0.191,0.058,13.112,76268,3229,2664,417,,389,276,436,10,7,69,6,175,31,1,28.58,113,1,9804,9928,0.0125,86.76,113,0,0,0,0,0,0,1,1,1,485,74.9,0.154,364,582,0.086,6,8,0.823,0,247,247,1,1,0,1,0,0,0,1.855,231f66b8
dense-candidates-10,dense-candidates,10,all,1713628490,23,154,162,1185,7.69,148,0.91,5.5,2.642,2.642,4.451,0.572,5,0.687,0.801,0.443,1.378,0.128,0.085,16.306,61329,12479,10056,1173,,1727,1565,672,10,8,589,3,533,277,7,77.03,162,1,14521,14834,0.0211,89.64,162,0,0,0,0,0,0,8,9,3,546.4,75.45,0.138,364,600,0.067,10.2,13,0.969,0,148,148,1,8,0,8,0,0,0,3.535,11f2a11b
gaps-mode-10,gaps-mode,10,gaps,3460961093,17,110,53,399,3.63,370,0.84,4.7,0.528,0.528,2.761,0.85,5,0.248,0.051,0.074,0.036,0.206,0.061,9.965,100355,675,449,154,,221,113,166,10,4,54,1,110,13,1,12.74,52,0.9811,4374,4588,0.0466,84.12,53,0,2,0,2,0,118,3,3,3,499.8,97.53,0.195,358,664,0.11,5.4,9,0.872,0,370,370,1,4,1,3,0,0,0,1.186,245dff69
oversubscribed-10,oversubscribed,10,all,3756248996,42,235,250,878,3.74,270,1.36,8.5,1.759,1.759,2.547,0.286,5,0.533,0.563,0.119,0.423,0.116,0.105,7.038,142096,11726,9992,849,,1211,1041,24,10,7,265,0,417,197,0,46.9,170,0.68,13459,21303,0.3682,79.17,250,0,0,0,0,0,0,11,24,7,568.6,78.95,0.139,336,600,0.048,9.5,13,0.997,0,270,270,1,91,80,11,0,0,0,1.99,6534683a
sparse-candidates-10,sparse-candidates,10,all,3834433095,17,105,106,190,1.81,303,0.84,3.7,0.406,0.406,0.454,0.019,5,0.158,0.083,0.014,0.032,0.093,0.056,3.83,261110,1461,1240,179,,172,68,80,10,3,18,0,128,13,0,13.78,104,0.9811,8115,8416,0.0358,78.03,106,0,0,0,0,0,0,4,4,3,494.4,61.99,0.125,394,598,0.071,2.9,4,0.859,0,303,303,1,7,2,4,0,0,1,0.434,2e30df10
tight-ceilings-10,tight-ceilings,10,all,2474672071,26,184,193,714,3.88,139,0.99,7.9,1.615,1.615,2.15,0.192,5,0.411,0.418,0.002,0.723,0.062,0.072,8.366,119529,9223,7609,698,,1508,1324,84,10,0,0,0,785,358,10,47.79,184,0.9534,15445,16707,0.0755,83.94,193,0,0,0,0,0,0,0,0,0,560.6,36.69,0.065,510,600,0.036,7.8,11,0.966,0,139,139,1,9,9,0,0,0,0,1.782,918321d3
tight-floors-10,tight-floors,10,all,1120974450,25,165,171,622,3.77,87,0.81,5.9,1.44,1.44,2.208,0.292,5,0.138,0.222,0.92,0.255,0.029,0.032,8.419,118778,7550,5973,614,,1867,1696,2858,10,46,706,32,405,103,8,44.15,171,1,14352,14542,0.0131,83.93,171,0,0,0,0,0,0,7,7,5,484,66.48,0.137,404,596,0.076,8.6,13,0.818,0,87,87,1,7,0,7,0,0,0,1.721,fbc874ea
unconstrained-10,unconstrained,10,all,2609505827,20,142,153,455,3.2,81,0.81,0,0.584,0.584,0.627,0.018,5,0.28,0.202,0.003,0.071,0.024,0.041,3.816,262024,4778,4294,450,,195,42,18,10,0,0,0,216,18,0,31.23,153,1,13535,13587,0.0038,88.46,153,0,0,0,0,0,0,0,0,0,487.4,132.08,0.271,164,600,0.139,6.6,11,0.812,0,81,81,1,0,0,0,0,0,0,0.612,949d7916
baseline-20,baseline,20,all,3243202964,51,320,330,1159,3.62,301,0.81,4.75,2.145,2.145,2.689,0.206,5,0.674,0.598,0.14,0.534,0.125,0.095,6.5,153855,13138,11235,1106,,1390,1060,504,20,7,263,2,988,315,10,39.81,330,1,27711,28417,0.0248,83.97,330,0,0,0,0,0,0,5,5,5,484,97.61,0.202,302,600,0.114,7.4,11,0.881,0,301,301,1,5,0,5,0,0,0,2.297,6eca237a
dense-candidates-20,dense-candidates,20,all,1561413289,48,305,315,2783,9.12,265,0.81,4.95,5.128,5.128,8.222,1.129,5,1.44,1.408,0.661,1.683,0.157,0.09,16.279,61429,27403,22785,2718,,3240,2925,3154,20,22,915,18,1022,416,24,86.99,315,1,29437,29829,0.0131,93.45,315,0,0,0,0,0,0,2,2,2,487.4,115.82,0.238,220,600,0.129,10.5,14,0.849,0,265,265,1,2,0,2,0,0,0,6.001,7b0a81a7
