omega,dataset,scenario,lecturers,filled,requested,desirability,floorViolations,floorShortfallHours,floorShortfallCourses,overrunHours,structural
5,baseline-10,baseline,10,113,113,9804,1,0,1,0,0
5,baseline-160,baseline,160,2185,2186,183165,49,0,51,0,0
5,baseline-20,baseline,20,330,330,27711,5,0,5,0,0
5,baseline-320,baseline,320,4845,4848,414669,62,0,65,0,0
5,baseline-40,baseline,40,566,566,48288,7,0,7,0,0
5,baseline-80,baseline,80,1260,1267,106086,22,0,23,0,0
5,dense-candidates-10,dense-candidates,10,162,162,14521,8,0,9,0,0
5,dense-candidates-160,dense-candidates,160,2542,2542,231460,67,0,126,0,0
5,dense-candidates-20,dense-candidates,20,315,315,29437,2,0,2,0,0
5,dense-candidates-320,dense-candidates,320,4614,4614,421840,125,0,245,0,0
5,dense-candidates-40,dense-candidates,40,597,597,55097,17,0,26,0,0
5,dense-candidates-80,dense-candidates,80,1155,1155,105531,24,0,36,0,0
5,gaps-mode-10,gaps-mode,10,52,53,4358,3,0,3,0,0
5,gaps-mode-160,gaps-mode,160,1324,1329,111557,55,0,56,96,0
5,gaps-mode-20,gaps-mode,20,156,158,13002,4,0,4,0,0
5,gaps-mode-320,gaps-mode,320,2501,2512,208347,87,0,92,4,0
5,gaps-mode-40,gaps-mode,40,325,325,27835,8,0,8,0,0
5,gaps-mode-80,gaps-mode,80,545,549,45411,24,0,26,20,0
5,oversubscribed-10,oversubscribed,10,170,250,13459,11,0,24,0,0
5,oversubscribed-160,oversubscribed,160,2967,4070,234164,133,4,282,0,0
5,oversubscribed-20,oversubscribed,20,384,539,31130,17,0,28,0,0
5,oversubscribed-320,oversubscribed,320,6136,8316,480898,285,4,531,0,0
5,oversubscribed-40,oversubscribed,40,722,979,56758,33,0,61,0,0
5,oversubscribed-80,oversubscribed,80,1484,2028,117864,79,2,161,0,0
5,sparse-candidates-10,sparse-candidates,10,104,106,8115,4,0,4,0,0
5,sparse-candidates-160,sparse-candidates,160,2116,2385,161102,66,24,65,0,0
5,sparse-candidates-20,sparse-candidates,20,206,262,15693,11,33,10,0,0
5,sparse-candidates-320,sparse-candidates,320,4668,5102,350792,90,5,89,0,0
5,sparse-candidates-40,sparse-candidates,40,529,566,40010,15,0,15,0,0
5,sparse-candidates-80,sparse-candidates,80,1173,1268,90083,31,0,31,0,0
5,tight-ceilings-10,tight-ceilings,10,184,193,15445,0,0,0,0,0
5,tight-ceilings-160,tight-ceilings,160,2629,2829,211706,0,0,0,0,0
5,tight-ceilings-20,tight-ceilings,20,279,304,22765,0,0,0,0,0
5,tight-ceilings-320,tight-ceilings,320,5343,5695,429496,0,0,0,0,0
5,tight-ceilings-40,tight-ceilings,40,666,690,53560,0,0,0,0,0
5,tight-ceilings-80,tight-ceilings,80,1442,1488,117658,0,0,0,0,0
5,tight-floors-10,tight-floors,10,171,171,14325,7,0,7,0,0
5,tight-floors-160,tight-floors,160,2575,2575,219018,222,746,259,0,0
5,tight-floors-20,tight-floors,20,287,287,24572,23,0,29,0,0
5,tight-floors-320,tight-floors,320,5003,5003,421336,387,999,454,0,0
5,tight-floors-40,tight-floors,40,661,662,55508,61,29,73,0,0
5,tight-floors-80,tight-floors,80,1145,1145,97200,96,182,131,0,0
5,unconstrained-10,unconstrained,10,153,153,13535,0,0,0,0,0
5,unconstrained-160,unconstrained,160,2477,2477,211647,0,0,0,0,0
5,unconstrained-20,unconstrained,20,327,327,28168,0,0,0,0,0
5,unconstrained-320,unconstrained,320,4770,4770,408692,0,0,0,0,0
5,unconstrained-40,unconstrained,40,682,682,58487,0,0,0,0,0
5,unconstrained-80,unconstrained,80,1297,1297,112029,0,0,0,0,0
10,baseline-10,baseline,10,113,113,9804,1,0,1,0,0
10,baseline-160,baseline,160,2185,2186,183165,49,0,51,0,0
10,baseline-20,baseline,20,330,330,27711,5,0,5,0,0
10,baseline-320,baseline,320,4845,4848,414669,62,0,65,0,0
10,baseline-40,baseline,40,566,566,48288,7,0,7,0,0
10,baseline-80,baseline,80,1260,1267,106086,22,0,23,0,0
10,dense-candidates-10,dense-candidates,10,162,162,14521,8,0,9,0,0
10,dense-candidates-160,dense-candidates,160,2542,2542,231527,65,0,124,0,0
10,dense-candidates-20,dense-candidates,20,315,315,29437,2,0,2,0,0
10,dense-candidates-320,dense-candidates,320,4614,4614,421840,125,0,245,0,0
10,dense-candidates-40,dense-candidates,40,597,597,55097,17,0,26,0,0
10,dense-candidates-80,dense-candidates,80,1155,1155,105575,24,0,36,0,0
10,gaps-mode-10,gaps-mode,10,52,53,4358,3,0,3,0,0
10,gaps-mode-160,gaps-mode,160,1324,1329,111557,55,0,56,96,0
10,gaps-mode-20,gaps-mode,20,156,158,13002,4,0,4,0,0
10,gaps-mode-320,gaps-mode,320,2501,2512,208347,87,0,92,4,0
10,gaps-mode-40,gaps-mode,40,325,325,27835,8,0,8,0,0
10,gaps-mode-80,gaps-mode,80,545,549,45411,24,0,26,20,0
10,oversubscribed-10,oversubscribed,10,170,250,13459,11,0,24,0,0
10,oversubscribed-160,oversubscribed,160,2967,4070,234164,133,4,282,0,0
10,oversubscribed-20,oversubscribed,20,384,539,31130,17,0,28,0,0
10,oversubscribed-320,oversubscribed,320,6136,8316,480898,285,4,531,0,0
10,oversubscribed-40,oversubscribed,40,722,979,56758,33,0,61,0,0
10,oversubscribed-80,oversubscribed,80,1484,2028,117864,79,2,161,0,0
10,sparse-candidates-10,sparse-candidates,10,104,106,8115,4,0,4,0,0
10,sparse-candidates-160,sparse-candidates,160,2116,2385,161102,66,24,65,0,0
10,sparse-candidates-20,sparse-candidates,20,206,262,15693,11,33,10,0,0
10,sparse-candidates-320,sparse-candidates,320,4668,5102,350792,90,5,89,0,0
