dataset,scenario,lecturers,slots,msBefore,msMedianBefore,msMaxBefore,msIqrBefore,repeatsBefore,msAfter,msMedianAfter,msMaxAfter,msIqrAfter,repeatsAfter,speedup,speedupMedian,filledBefore,filledAfter,requestedSlots,overrunHoursBefore,overrunHoursAfter,ceilingBreachesBefore,ceilingBreachesAfter,floorViolationsBefore,floorViolationsAfter
baseline-10,baseline,10,113,45.082,45.845,46.965,0.669,5,3.623,3.994,5.367,1.176,5,12.442,11.480,113,113,113,220.0,0.0,2,0,1,1
dense-candidates-10,dense-candidates,10,162,221.174,221.934,223.485,1.458,5,8.095,9.297,10.583,1.597,5,27.322,23.872,162,162,162,624.0,0.0,3,0,1,8
gaps-mode-10,gaps-mode,10,109,13.460,14.168,14.543,0.791,5,2.249,2.394,2.565,0.155,5,5.985,5.919,52,52,53,306.0,0.0,2,0,3,3
oversubscribed-10,oversubscribed,10,250,154.639,155.769,158.242,0.998,5,6.042,6.418,7.708,0.668,5,25.594,24.271,211,170,250,1772.0,0.0,9,0,5,11
sparse-candidates-10,sparse-candidates,10,106,13.686,14.181,15.220,1.129,5,1.744,1.750,1.863,0.046,5,7.846,8.104,104,104,106,334.0,0.0,2,0,4,4
tight-ceilings-10,tight-ceilings,10,193,93.674,96.719,98.836,1.815,5,5.932,6.073,8.074,0.085,5,15.791,15.927,193,184,193,505.0,0.0,6,0,0,0
tight-floors-10,tight-floors,10,171,153.475,156.553,158.147,3.353,5,5.530,5.568,7.324,0.301,5,27.755,28.118,171,171,171,104.0,0.0,1,0,8,7
unconstrained-10,unconstrained,10,153,44.731,46.415,47.923,1.826,5,2.395,2.454,3.269,0.440,5,18.678,18.912,153,153,153,298.0,0.0,2,0,0,0
baseline-20,baseline,20,330,304.402,306.558,377.071,16.351,5,8.356,15.607,26.205,5.732,5,36.428,19.642,330,330,330,616.0,0.0,9,0,3,5
dense-candidates-20,dense-candidates,20,315,884.083,894.132,908.250,0.877,5,16.095,17.544,19.809,2.049,5,54.928,50.966,315,315,315,474.0,0.0,7,0,2,2
gaps-mode-20,gaps-mode,20,332,108.462,109.769,114.334,1.019,5,4.999,5.236,10.813,2.042,5,21.696,20.963,156,156,158,252.0,0.0,4,0,4,4
